Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,134,1405,25 MURRAY STREET  #COM 5,10007,306214,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1406,25 MURRAY STREET  #COM 6,10007,316421,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1407,25 MURRAY STREET  #COM 7,10007,486162,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1408,25 MURRAY STREET  #COM 8,10007,220776,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1409,25 MURRAY STREET  #COM 9,10007,187509,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1410,25 MURRAY STREET  #COM10,10007,174655,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1411,25 MURRAY STREET  #COM11,10007,202253,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1412,25 MURRAY STREET  #COM12,10007,202253,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1488,25 MURRAY STREET  #STOR1,10007,277861,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1489,25 MURRAY STREET  #STOR2,10007,85059,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1490,25 MURRAY STREET  #STOR3,10007,148949,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1491,25 MURRAY STREET  #STOR4,10007,92242,4,RK,2017,Nonfiler,981932,199256,40.713588,-74.008361,101,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy
